Название;Населенный пункт;Линия;Звёзды;Рейтинг;Ссылка
Club Hotel Sera;Лара;1-я линия от моря;5;4,55;https://tophotels.ru/hotel/al2459/reviews
Kremlin Palace (ex.Asteria Kremlin Palace);Кунду;1-я линия от моря;5;4,22;https://tophotels.ru/hotel/al5665/reviews
Fame Residence Lara & Spa Hotel;Лара;1-я линия от моря;5;4,76;https://tophotels.ru/hotel/al20761/reviews
Venezia Palace Deluxe Resort;Кунду;1-я линия от моря;5;4,40;https://tophotels.ru/hotel/al5408/reviews
Grand Park Lara;Лара;2-я линия от моря;4;4,61;https://tophotels.ru/hotel/al98061/reviews
Swandor Hotels & Resorts Topkapi Palace;Кунду;1-я линия от моря;5;4,64;https://tophotels.ru/hotel/al2428/reviews
Trendy Lara;Лара;2-я линия от моря;5;4,74;https://tophotels.ru/hotel/al303084/reviews
Adalya Elite Lara;Лара;1-я линия от моря;5;4,74;https://tophotels.ru/hotel/al292881/reviews
Aska Lara Resort & Spa;Лара;2-я линия от моря;5;4,68;https://tophotels.ru/hotel/al130607/reviews
Crystal Centro Resort;Пляжный;1-я линия от моря;5;4,41;https://tophotels.ru/hotel/al24968/reviews
IC Hotels Green Palace;Кунду;1-я линия от моря;5;4,52;https://tophotels.ru/hotel/al4790/reviews
Ozkaymak Falez Hotel;Коньяалты;2-я линия от моря;5;3,95;https://tophotels.ru/hotel/al747/reviews
Concorde De Luxe Resort;Лара;1-я линия от моря;5;4,67;https://tophotels.ru/hotel/al16713/reviews
Limak Lara Deluxe Hotel & Resort;Лара;1-я линия от моря;5;4,71;https://tophotels.ru/hotel/al24903/reviews
Nirvana Cosmopolitan;Лара;1-я линия от моря;5;4,39;https://tophotels.ru/hotel/al16999/reviews
Rixos Lares (закрыт);Пляжный;1-я линия от моря;5;4,66;https://tophotels.ru/hotel/al220719/reviews
Ramada Resort Lara;Лара;2-я линия от моря;5;4,50;https://tophotels.ru/hotel/al102412/reviews
Lara Barut Collection;Лара;1-я линия от моря;5;4,85;https://tophotels.ru/hotel/al17600/reviews
Antalya Adonis;Лара;1-я линия от моря;5;4,23;https://tophotels.ru/hotel/al5339/reviews
Sherwood Exclusive Lara;Пляжный;1-я линия от моря;5;4,52;https://tophotels.ru/hotel/al16717/reviews
Wyndham Garden Lara (ex.Lara Family Club);Лара;2-я линия от моря;5;4,65;https://tophotels.ru/hotel/al100280/reviews
Baia Hotels Lara;Пляжный;1-я линия от моря;5;4,75;https://tophotels.ru/hotel/al40816/reviews
Delphin Imperial Hotel;Лара;1-я линия от моря;5;4,63;https://tophotels.ru/hotel/al69944/reviews
Delphin Palace Deluxe Collection;Кунду;1-я линия от моря;5;4,70;https://tophotels.ru/hotel/al17134/reviews
Titanic Beach Lara;Лара;1-я линия от моря;5;4,51;https://tophotels.ru/hotel/al4792/reviews
Club Hotel Sera;Лара;1-я линия от моря;5;4,55;https://tophotels.ru/hotel/al2459/reviews
Kremlin Palace (ex.Asteria Kremlin Palace);Кунду;1-я линия от моря;5;4,22;https://tophotels.ru/hotel/al5665/reviews
Fame Residence Lara & Spa Hotel;Лара;1-я линия от моря;5;4,76;https://tophotels.ru/hotel/al20761/reviews
Venezia Palace Deluxe Resort;Кунду;1-я линия от моря;5;4,40;https://tophotels.ru/hotel/al5408/reviews
Grand Park Lara;Лара;2-я линия от моря;4;4,61;https://tophotels.ru/hotel/al98061/reviews
Swandor Hotels & Resorts Topkapi Palace;Кунду;1-я линия от моря;5;4,64;https://tophotels.ru/hotel/al2428/reviews
Trendy Lara;Лара;2-я линия от моря;5;4,74;https://tophotels.ru/hotel/al303084/reviews
Adalya Elite Lara;Лара;1-я линия от моря;5;4,74;https://tophotels.ru/hotel/al292881/reviews
Aska Lara Resort & Spa;Лара;2-я линия от моря;5;4,68;https://tophotels.ru/hotel/al130607/reviews
Crystal Centro Resort;Пляжный;1-я линия от моря;5;4,41;https://tophotels.ru/hotel/al24968/reviews
IC Hotels Green Palace;Кунду;1-я линия от моря;5;4,52;https://tophotels.ru/hotel/al4790/reviews
Ozkaymak Falez Hotel;Коньяалты;2-я линия от моря;5;3,95;https://tophotels.ru/hotel/al747/reviews
Concorde De Luxe Resort;Лара;1-я линия от моря;5;4,67;https://tophotels.ru/hotel/al16713/reviews
Limak Lara Deluxe Hotel & Resort;Лара;1-я линия от моря;5;4,71;https://tophotels.ru/hotel/al24903/reviews
Nirvana Cosmopolitan;Лара;1-я линия от моря;5;4,39;https://tophotels.ru/hotel/al16999/reviews
Rixos Lares (закрыт);Пляжный;1-я линия от моря;5;4,66;https://tophotels.ru/hotel/al220719/reviews
Ramada Resort Lara;Лара;2-я линия от моря;5;4,50;https://tophotels.ru/hotel/al102412/reviews
Lara Barut Collection;Лара;1-я линия от моря;5;4,85;https://tophotels.ru/hotel/al17600/reviews
Antalya Adonis;Лара;1-я линия от моря;5;4,23;https://tophotels.ru/hotel/al5339/reviews
Sherwood Exclusive Lara;Пляжный;1-я линия от моря;5;4,52;https://tophotels.ru/hotel/al16717/reviews
Wyndham Garden Lara (ex.Lara Family Club);Лара;2-я линия от моря;5;4,65;https://tophotels.ru/hotel/al100280/reviews
Baia Hotels Lara;Пляжный;1-я линия от моря;5;4,75;https://tophotels.ru/hotel/al40816/reviews
Delphin Imperial Hotel;Лара;1-я линия от моря;5;4,63;https://tophotels.ru/hotel/al69944/reviews
Delphin Palace Deluxe Collection;Кунду;1-я линия от моря;5;4,70;https://tophotels.ru/hotel/al17134/reviews
Titanic Beach Lara;Лара;1-я линия от моря;5;4,51;https://tophotels.ru/hotel/al4792/reviews
Sealife Family Resort;Коньяалты;1-я линия от моря;5;4,49;https://tophotels.ru/hotel/al2461/reviews
Andriake Beach Club Hotel;Демр;----;5;4,41;https://tophotels.ru/hotel/al315283/reviews
Delphin BE Grand Resort;Пляжный;1-я линия от моря;5;4,54;https://tophotels.ru/hotel/al4794/reviews
Club Hotel Falcon;Лара;1-я линия от моря;4;4,20;https://tophotels.ru/hotel/al4797/reviews
Suite Laguna Hotel;Пляжный;3-я линия от моря;3;4,46;https://tophotels.ru/hotel/al25100/reviews
Royal Holiday Palace;Лара;1-я линия от моря;5;4,65;https://tophotels.ru/hotel/al61594/reviews
Titanic Mardan Palace;Кунду;1-я линия от моря;5;4,55;https://tophotels.ru/hotel/al38867/reviews
Porto Bello Hotel Resort & Spa;Коньяалты;1-я линия от моря;5;4,54;https://tophotels.ru/hotel/al4795/reviews
Royal Seginus;Лар;----;5;4,58;https://tophotels.ru/hotel/al310108/reviews
Rixos Downtown;Коньяалты;2-я линия от моря;5;4,47;https://tophotels.ru/hotel/al2458/reviews
Acropol Beach;Анталья-центр;через дорогу;3;4,34;https://tophotels.ru/hotel/al11597/reviews
Delphin Diva Premiere;Лара;1-я линия от моря;5;4,57;https://tophotels.ru/hotel/al12469/reviews
Liberty Hotels Lara;Аксу;1-я линия от моря;5;4,72;https://tophotels.ru/hotel/al16714/reviews
Wind of Lara Hotel & Spa;Лара;2-я линия от моря;5;4,37;https://tophotels.ru/hotel/al287493/reviews
Lara Park Hotel;Лара;2-я линия от моря;4;4,13;https://tophotels.ru/hotel/al53056/reviews
Ramada Plaza Antalya;Пляжный;2-я линия от моря;5;4,53;https://tophotels.ru/hotel/al45778/reviews
Royal Wings;Лара;1-я линия от моря;5;4,68;https://tophotels.ru/hotel/al16716/reviews
Miracle Resort;Кунду;1-я линия от моря;5;4,43;https://tophotels.ru/hotel/al16715/reviews
Saturn Palace Resort;Лара;1-я линия от моря;5;4,72;https://tophotels.ru/hotel/al28080/reviews
Lara Hadrianus;Лара;2-я линия от моря;3;4,07;https://tophotels.ru/hotel/al26416/reviews
Melas Lara;Лара;1-я линия от моря;5;4,72;https://tophotels.ru/hotel/al40111/reviews
Lara World;Пляжный;1-я линия от моря;3;4,45;https://tophotels.ru/hotel/al51218/reviews
Lara Dinc;Лара;2-я линия от моря;4;4,21;https://tophotels.ru/hotel/al20498/reviews
Tuvana Hotel;Анталья-центр;близко к центру;4;4,75;https://tophotels.ru/hotel/al84202/reviews
Santa Marina;Коньяалты;1-я линия от моря;3;4,08;https://tophotels.ru/hotel/al25862/reviews
Benna;Коньяалты;2-я линия от моря;2;4,33;https://tophotels.ru/hotel/al5335/reviews
Bodensee Hotel;Коньяалты;через дорогу;3;3,41;https://tophotels.ru/hotel/al9104/reviews
Nazar Beach;Лара;1-я линия от моря;3;3,72;https://tophotels.ru/hotel/al5014/reviews
Lara;Лара;1-я линия от моря;3;4,49;https://tophotels.ru/hotel/al5254/reviews
Suntalia Hotel;Пляжный;2-я линия от моря;3;3,43;https://tophotels.ru/hotel/al205055/reviews
Isinda;Коньяалты;через дорогу;3;3,62;https://tophotels.ru/hotel/al5342/reviews
Jura Hotels Lara Resort (ex.Royal Towers Hotel Lara);Лара;2-я линия от моря;5;3,58;https://tophotels.ru/hotel/al319560/reviews
Atalla;Анталья-центр;3-я линия от моря;3;3,56;https://tophotels.ru/hotel/al103397/reviews
Sunis Hotel SU;Анталья-центр;1-я линия от моря;5;4,73;https://tophotels.ru/hotel/al4793/reviews
Nasa Flora;Лара;через дорогу;2;4,68;https://tophotels.ru/hotel/al10030/reviews
Meltem;Коньяалты;через дорогу;2;4,11;https://tophotels.ru/hotel/al5343/reviews
IC Hotels Residence;Кунду;1-я линия от моря;5;4,70;https://tophotels.ru/hotel/al25145/reviews
Prima;Лара;1-я линия от моря;3;3,26;https://tophotels.ru/hotel/al12734/reviews
Greenwood Suites Resort;Лар;----;5;4,36;https://tophotels.ru/hotel/al317791/reviews
Crowne Plaza Antalya;Коньяалты;через дорогу;5;4,71;https://tophotels.ru/hotel/al40988/reviews
Tourist Hotel Antalya;Лара;2-я линия от моря;3;4,58;https://tophotels.ru/hotel/al104701/reviews
Prenses Sealine Beach Hotel;Сери;----;4;4,00;https://tophotels.ru/hotel/al327461/reviews
Orange Park Hotel;Лара;через дорогу;4;2,89;https://tophotels.ru/hotel/al11683/reviews
Megasaray WestBeach Antalya;Пляжный;2-я линия от моря;5;4,16;https://tophotels.ru/hotel/al49485/reviews
Triana Hotel;Пляжный;3-я линия от моря;3;4,27;https://tophotels.ru/hotel/al68660/reviews
Puding Marina Residences;Анталья-центр;1-я линия от моря;;4,90;https://tophotels.ru/hotel/al86918/reviews
Citrus Park Hotel;"35%

                            для отдыха с семьёй                        




                            4,50                        
                        Размещение                    


                            3,93                        
                        Питание                    


                            4,13                        
                        Сервис                    


                                4,60                            
                            WiFi                        


                                4,40                            
                            Номер";----;4;4,18;https://tophotels.ru/hotel/al324836/reviews
Olympos Health Resort;Кумлуджа;3-я линия от моря;5;4,01;https://tophotels.ru/hotel/al331738/reviews
Polen;Коньяалты;2-я линия от моря;2;4,17;https://tophotels.ru/hotel/al4801/reviews
Alp Pasa Boutique Hotel;Анталья-центр;2-я линия от моря;4;3,69;https://tophotels.ru/hotel/al88868/reviews
Oscar;Анталья-центр;2-я линия от моря;3;3,92;https://tophotels.ru/hotel/al56525/reviews
Dedeman Park Antalya;Анталья-центр;2-я линия от моря;5;4,33;https://tophotels.ru/hotel/al33094/reviews
Lavia Hotels Lara;Лара;2-я линия от моря;5;3,68;https://tophotels.ru/hotel/al325830/reviews
Akra;Пляжный;1-я линия от моря;5;4,93;https://tophotels.ru/hotel/al132769/reviews
Sherwood Premio Hotel;Лар;----;3;3,63;https://tophotels.ru/hotel/al312845/reviews
Duran Apart;Анталья-центр;1-я линия от моря;;3,25;https://tophotels.ru/hotel/al332502/reviews
Green Beyza;Лара;2-я линия от моря;3;3,37;https://tophotels.ru/hotel/al5340/reviews
Golden Orange Hotel;Коньяалты;через дорогу;3;4,62;https://tophotels.ru/hotel/al4800/reviews
The Corner Park;Коньяалты;через дорогу;4;4,50;https://tophotels.ru/hotel/al69560/reviews
Winecity Hotel;Демр;----;;3,48;https://tophotels.ru/hotel/al315704/reviews
Oz Hotels Antalya Hotel Resort & Spa;Анталья-центр;через дорогу;5;4,31;https://tophotels.ru/hotel/al4796/reviews
Der Inn Hotel;"29%

                            для отдыха с детьми                        




                            4,75                        
                        Размещение                    


                            4,75                        
                        Питание                    


                            4,42                        
                        Сервис                    


                                5,00                            
                            WiFi                        


                                4,40                            
                            Номер";----;4;4,64;https://tophotels.ru/hotel/al325766/reviews
Start Hotel Antalya;Анталья-цент;----;3;4,44;https://tophotels.ru/hotel/al308293/reviews
The Marmara Antalya;Лара;1-я линия от моря;5;4,53;https://tophotels.ru/hotel/al19651/reviews
Laren Family Hotel & Spa;"17%

                            для отдыха с детьми                        




                            4,40                        
                        Размещение                    


                            4,00                        
                        Питание                    


                            4,00                        
                        Серви";----;;4,13;https://tophotels.ru/hotel/al314514/reviews
Argos Hotel;Анталья-центр;1-я линия от моря;;3,42;https://tophotels.ru/hotel/al32596/reviews
Lara Atalla Hotel;Лара;через дорогу;3;2,83;https://tophotels.ru/hotel/al136165/reviews
Sava Butik;Пляжный;1-я линия от моря;3;3,93;https://tophotels.ru/hotel/al47945/reviews
Otium Boutique Delight Deluxe;Калеич;----;;4,67;https://tophotels.ru/hotel/al318751/reviews
Suix Lara (закрыт);Пляжный;2-я линия от моря;5;3,53;https://tophotels.ru/hotel/al77558/reviews
Best Western Khan;Анталья-центр;2-я линия от моря;4;5,00;https://tophotels.ru/hotel/al11981/reviews
Kaleici Marina Boutique Hotel;Калеичи;1-я линия от моря;;5,00;https://tophotels.ru/hotel/al320360/reviews
Holiday Inn Antalya - Lara;Лар;----;5;5,00;https://tophotels.ru/hotel/al309766/reviews
Adrasan Klados;Адрасан;2-я линия от моря;;4,78;https://tophotels.ru/hotel/al116700/reviews
Adalya Port Hotel;Анталья-центр;2-я линия от моря;4;4,67;https://tophotels.ru/hotel/al54550/reviews
Erdem;Пляжный;1-я линия от моря;3;4,61;https://tophotels.ru/hotel/al135727/reviews
Exporoyal Hotel;Анталья-цент;----;;4,33;https://tophotels.ru/hotel/al318057/reviews
IC Hotels Airport;Анталья-центр;3-я линия от моря;5;4,00;https://tophotels.ru/hotel/al4799/reviews
Lemon Hotel;Коньяалты;2-я линия от моря;;3,83;https://tophotels.ru/hotel/al167149/reviews
Royal City Hotel;Лара;1-я линия от моря;3;2,73;https://tophotels.ru/hotel/al29700/reviews
DoubleTree by Hilton Antalya City Centre;"67%

                            для отдыха парой                        




                            5,00                        
                        Размещение                    


                            5,00                        
                        Питание                    


                            5,00                        
                        Серви";----;5;5,00;https://tophotels.ru/hotel/al318965/reviews
Kaleici Hotel & Pension;Калеичи;центр;;5,00;https://tophotels.ru/hotel/al167505/reviews
Les Lion Luxury & Spa Hotel;"67%

                            для отдыха парой                        




                            5,00                        
                        Размещение                    


                            5,00                        
                        Питание                    


                            5,00                        
                        Серви";----;4;5,00;https://tophotels.ru/hotel/al325631/reviews
Balbey Family Apart;Анталья-цент;----;;5,00;https://tophotels.ru/hotel/al324314/reviews
Latanya Palm Hotel;Пляжный;3-я линия от моря;4;4,83;https://tophotels.ru/hotel/al104070/reviews
La Boutique;Лара;2-я линия от моря;4;4,67;https://tophotels.ru/hotel/al81485/reviews
On Hotel;Лара;1-я линия от моря;3;4,17;https://tophotels.ru/hotel/al53157/reviews
Dogan;Анталья-центр;1-я линия от моря;4;4,17;https://tophotels.ru/hotel/al54537
Meyde Boutique Suites;"Отель мало изучен                Вам есть что рассказать?                Напишите отзыв, 
                и будьте первыми!";----;;4,17;https://tophotels.ru/hotel/al318773
Onkel Residence;Пляжный;2-я линия от моря;;5,00;https://tophotels.ru/hotel/al271027/reviews
Blue Stars;Пляжный;3-я линия от моря;;5,00;https://tophotels.ru/hotel/al167291/reviews
Beyaz Melek;Коньяалты;2-я линия от моря;2;4,75;https://tophotels.ru/hotel/al17178/reviews
Adalia Otel;Городской;близко к центру;3;3,78;https://tophotels.ru/hotel/al159847/reviews
Pacco Sea & City Hotel Spa;Пляжный;через дорогу;3;3,44;https://tophotels.ru/hotel/al153819/reviews
Laren Sea Side Hotel Spa;Пляжный;1-я линия от моря;;3,33;https://tophotels.ru/hotel/al321938/reviews
Urcu Hotel;Калеичи;центр;3;1,89;https://tophotels.ru/hotel/al167394/reviews
The Mori Club Hotel;"50%

                            для отдыха с друзьями                        




                            5,00                        
                        Размещение                    


                            5,00                        
                        Питание                    


                            5,00                        
                        Серви";----;;5,00;https://tophotels.ru/hotel/al325078/reviews
Linda Hotel;Каш;центр;;4,83;https://tophotels.ru/hotel/al176722/reviews
Blue Sea Garden Family Hotel;Калеичи;2-я линия от моря;;4,67;https://tophotels.ru/hotel/al238085/reviews
Ninova Pansion;Анталья-центр;2-я линия от моря;;4,67;https://tophotels.ru/hotel/al91954/reviews
Atan Park;Пляжный;3-я линия от моря;3;4,33;https://tophotels.ru/hotel/al87678/reviews
Luna;Лара;3-я линия от моря;3;4,33;https://tophotels.ru/hotel/al5666/reviews
Volkii Hotel;Пляжный;через дорогу;;4,33;https://tophotels.ru/hotel/al172705/reviews
Madi;Пляжный;2-я линия от моря;3;4,25;https://tophotels.ru/hotel/al63020/reviews
Krystal Beach Hotel;Коньяалты;2-я линия от моря;3;4,17;https://tophotels.ru/hotel/al33383/reviews
Olbia;Коньяалты;через дорогу;3;4,00;https://tophotels.ru/hotel/al24292/reviews
Turist;Анталья-центр;2-я линия от моря;3;3,08;https://tophotels.ru/hotel/al5350/reviews
Akra V Hotel;Пляжный;2-я линия от моря;4;3,08;https://tophotels.ru/hotel/al142758
Hadrianus;Пляжный;2-я линия от моря;3;3,08;https://tophotels.ru/hotel/al104107
Prize;Пляжный;3-я линия от моря;3;3,08;https://tophotels.ru/hotel/al70915
Otium Boutique Delight Deluxe Aparts;Калеичи;близко к центру;;3,08;https://tophotels.ru/hotel/al314681
