Название;Населенный пункт;Линия;Звёзды;Рейтинг;Ссылка
Dobedan World Palace (ex.Alva Donna World Palace);Кириш;1-я линия от моря;5;4,71;https://tophotels.ru/hotel/al5327/reviews
Akka Alinda Hotel;Кириш;1-я линия от моря;5;4,67;https://tophotels.ru/hotel/al2501/reviews
Limak Limra Hotel & Resort;Кириш;1-я линия от моря;5;4,59;https://tophotels.ru/hotel/al2505/reviews
Rixos Premium Tekirova;Текирова;1-я линия от моря;5;4,70;https://tophotels.ru/hotel/al396/reviews
Akka Antedon Hotel;Бельдиби;1-я линия от моря;5;4,71;https://tophotels.ru/hotel/al19370/reviews
Club Hotel Phaselis Rose;Текирова;1-я линия от моря;5;4,64;https://tophotels.ru/hotel/al2581/reviews
L'Oceanica Beach Resort Hotel;Чамьюва;1-я линия от моря;5;4,55;https://tophotels.ru/hotel/al28032/reviews
Rox Royal Hotel;Кемер-центр;2-я линия от моря;5;4,52;https://tophotels.ru/hotel/al12095/reviews
Queen's Park Rai Premium Tekirova;Текирова;1-я линия от моря;5;4,59;https://tophotels.ru/hotel/al11279/reviews
Sealife Kemer Resort;Кемер-центр;1-я линия от моря;5;4,36;https://tophotels.ru/hotel/al2578/reviews
Selcukhan;Бельдиби;через дорогу;4;4,46;https://tophotels.ru/hotel/al6083/reviews
Tu Casa Gelidonya Hotel;Кемер-центр;2-я линия от моря;4;4,50;https://tophotels.ru/hotel/al5253/reviews
Club Hotel Belpinar;Бельдиби;1-я линия от моря;4;4,38;https://tophotels.ru/hotel/al2535/reviews
Mirage Park Resort;Гёйнюк;1-я линия от моря;5;4,55;https://tophotels.ru/hotel/al2506/reviews
Ozkaymak Marina Kemer;Кемер-центр;через дорогу;5;4,32;https://tophotels.ru/hotel/al2507/reviews
Asdem Park;Пляжный;2-я линия от моря;4;4,37;https://tophotels.ru/hotel/al4830/reviews
Grand Mir'amor;Кириш;2-я линия от моря;4;4,17;https://tophotels.ru/hotel/al61591/reviews
Armas Kaplan Paradise;Текирова;2-я линия от моря;5;4,12;https://tophotels.ru/hotel/al2529/reviews
Sailor's Beach Club;Кириш;1-я линия от моря;5;4,72;https://tophotels.ru/hotel/al5369/reviews
Queen's Park Resort Goynuk;Гёйнюк;1-я линия от моря;5;4,15;https://tophotels.ru/hotel/al891/reviews
Zena Resort;Пляжный;1-я линия от моря;5;4,46;https://tophotels.ru/hotel/al16998/reviews
FUN&SUN FAMILY Club Saphire;Текирова;1-я линия от моря;5;4,24;https://tophotels.ru/hotel/al4306/reviews
Larissa Phaselis Princess Hotel;Пляжный;1-я линия от моря;5;4,03;https://tophotels.ru/hotel/al4358/reviews
Lucida Beach;Чамьюва;1-я линия от моря;5;4,53;https://tophotels.ru/hotel/al134455/reviews
Armas Gul Beach;Кемер-центр;1-я линия от моря;4;4,22;https://tophotels.ru/hotel/al6314/reviews
Dobedan World Palace (ex.Alva Donna World Palace);Кириш;1-я линия от моря;5;4,71;https://tophotels.ru/hotel/al5327/reviews
Akka Alinda Hotel;Кириш;1-я линия от моря;5;4,67;https://tophotels.ru/hotel/al2501/reviews
Limak Limra Hotel & Resort;Кириш;1-я линия от моря;5;4,59;https://tophotels.ru/hotel/al2505/reviews
Rixos Premium Tekirova;Текирова;1-я линия от моря;5;4,70;https://tophotels.ru/hotel/al396/reviews
Akka Antedon Hotel;Бельдиби;1-я линия от моря;5;4,71;https://tophotels.ru/hotel/al19370/reviews
Club Hotel Phaselis Rose;Текирова;1-я линия от моря;5;4,64;https://tophotels.ru/hotel/al2581/reviews
L'Oceanica Beach Resort Hotel;Чамьюва;1-я линия от моря;5;4,55;https://tophotels.ru/hotel/al28032/reviews
Rox Royal Hotel;Кемер-центр;2-я линия от моря;5;4,52;https://tophotels.ru/hotel/al12095/reviews
Queen's Park Rai Premium Tekirova;Текирова;1-я линия от моря;5;4,59;https://tophotels.ru/hotel/al11279/reviews
Sealife Kemer Resort;Кемер-центр;1-я линия от моря;5;4,36;https://tophotels.ru/hotel/al2578/reviews
Selcukhan;Бельдиби;через дорогу;4;4,46;https://tophotels.ru/hotel/al6083/reviews
Tu Casa Gelidonya Hotel;Кемер-центр;2-я линия от моря;4;4,50;https://tophotels.ru/hotel/al5253/reviews
Club Hotel Belpinar;Бельдиби;1-я линия от моря;4;4,38;https://tophotels.ru/hotel/al2535/reviews
Mirage Park Resort;Гёйнюк;1-я линия от моря;5;4,55;https://tophotels.ru/hotel/al2506/reviews
Ozkaymak Marina Kemer;Кемер-центр;через дорогу;5;4,32;https://tophotels.ru/hotel/al2507/reviews
Asdem Park;Пляжный;2-я линия от моря;4;4,37;https://tophotels.ru/hotel/al4830/reviews
Grand Mir'amor;Кириш;2-я линия от моря;4;4,17;https://tophotels.ru/hotel/al61591/reviews
Armas Kaplan Paradise;Текирова;2-я линия от моря;5;4,12;https://tophotels.ru/hotel/al2529/reviews
Sailor's Beach Club;Кириш;1-я линия от моря;5;4,72;https://tophotels.ru/hotel/al5369/reviews
Queen's Park Resort Goynuk;Гёйнюк;1-я линия от моря;5;4,15;https://tophotels.ru/hotel/al891/reviews
Zena Resort;Пляжный;1-я линия от моря;5;4,46;https://tophotels.ru/hotel/al16998/reviews
FUN&SUN FAMILY Club Saphire;Текирова;1-я линия от моря;5;4,24;https://tophotels.ru/hotel/al4306/reviews
Larissa Phaselis Princess Hotel;Пляжный;1-я линия от моря;5;4,03;https://tophotels.ru/hotel/al4358/reviews
Lucida Beach;Чамьюва;1-я линия от моря;5;4,53;https://tophotels.ru/hotel/al134455/reviews
Armas Gul Beach;Кемер-центр;1-я линия от моря;4;4,22;https://tophotels.ru/hotel/al6314/reviews
Mirada del Mar;Гёйнюк;1-я линия от моря;5;4,64;https://tophotels.ru/hotel/al2511/reviews
Sea Gull;Бельдиби;1-я линия от моря;4;4,48;https://tophotels.ru/hotel/al2532/reviews
Grand Ring;Бельдиби;через дорогу;5;4,40;https://tophotels.ru/hotel/al5491/reviews
Royal Diwa Tekirova Resort;Текирова;1-я линия от моря;5;4,38;https://tophotels.ru/hotel/al40236/reviews
Orange County Kemer - Adult Only +16;Кемер-центр;1-я линия от моря;5;4,56;https://tophotels.ru/hotel/al17180/reviews
Club Marco Polo;Чамьюва;1-я линия от моря;5;4,42;https://tophotels.ru/hotel/al4994/reviews
Rixos Sungate;Бельдиби;1-я линия от моря;5;4,59;https://tophotels.ru/hotel/al16626/reviews
Camyuva Beach;Чамьюва;1-я линия от моря;4;4,55;https://tophotels.ru/hotel/al18388/reviews
Magic Sun;Бельдиби;2-я линия от моря;4;4,03;https://tophotels.ru/hotel/al26687/reviews
